,15
lens_id,000-322-595-054-608
jurisdiction,BR
doc_number,0001130
kind,A
date_published,2001-11-20
doc_key,BR_0001130_A_20011120
docdb_id,289403389
lang,
biblio,"{'publication_reference': {'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'A', 'date': '2001-11-20'}, 'application_reference': {'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'A', 'date': '2000-04-05'}, 'priority_claims': {'claims': [{'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'A', 'date': '2000-04-05', 'sequence': 1}], 'earliest_claim': {'date': '2000-04-05'}}, 'invention_title': [{'text': 'Banda de rodagem para recauchutagem de pneus', 'lang': 'pt'}], 'parties': {'applicants': [{'residence': 'BR', 'extracted_name': {'value': 'DREBOR IND DE ARTEFATOS DE BOR'}}], 'inventors': [{'sequence': 1, 'extracted_name': {'value': 'DRESCH ELDON'}}], 'owners_all': [{'recorded_date': '2012-06-12', 'execution_date': '2012-06-12', 'extracted_name': {'value': 'MOREFLEX BORRACHAS LTDA. (BR/RS)'}}]}, 'classifications_ipcr': {'classifications': [{'symbol': 'B60C11/02', 'classification_value': 'I', 'classification_symbol_position': 'F'}, {'symbol': 'B29D30/52', 'classification_value': 'I'}, {'symbol': 'B29D30/54', 'classification_value': 'I'}, {'symbol': 'B29D30/56', 'classification_value': 'I'}, {'symbol': 'B60C11/00', 'classification_value': 'I'}, {'symbol': 'E01H1/12', 'classification_value': 'I'}]}, 'classifications_cpc': {'classifications': [{'symbol': 'B60C11/0083', 'classification_value': 'I', 'classification_symbol_position': 'F'}, {'symbol': 'B29D30/56', 'classification_value': 'I', 'classification_symbol_position': 'L'}, {'symbol': 'B60C11/02', 'classification_value': 'I', 'classification_symbol_position': 'L'}, {'symbol': 'B60C11/0083', 'classification_value': 'I', 'classification_symbol_position': 'F'}, {'symbol': 'B29D30/56', 'classification_value': 'I', 'classification_symbol_position': 'L'}, {'symbol': 'B60C11/02', 'classification_value': 'I', 'classification_symbol_position': 'L'}]}, 'cited_by': {}}"
families,"{'simple_family': {'members': [{'document_id': {'jurisdiction': 'JP', 'doc_number': '2003530259', 'kind': 'A', 'date': '2003-10-14'}, 'lens_id': '022-040-657-624-825'}, {'document_id': {'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'B1', 'date': '2014-01-28'}, 'lens_id': '091-239-452-882-303'}, {'document_id': {'jurisdiction': 'AU', 'doc_number': '4626201', 'kind': 'A', 'date': '2001-10-23'}, 'lens_id': '035-763-602-050-431'}, {'document_id': {'jurisdiction': 'FR', 'doc_number': '2809750', 'kind': 'A1', 'date': '2001-12-07'}, 'lens_id': '160-209-945-929-61X'}, {'document_id': {'jurisdiction': 'MX', 'doc_number': 'PA02009823', 'kind': 'A', 'date': '2004-09-06'}, 'lens_id': '035-746-733-617-798'}, {'document_id': {'jurisdiction': 'EP', 'doc_number': '1268224', 'kind': 'A1', 'date': '2003-01-02'}, 'lens_id': '159-189-699-531-188'}, {'document_id': {'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'A', 'date': '2001-11-20'}, 'lens_id': '000-322-595-054-608'}, {'document_id': {'jurisdiction': 'CA', 'doc_number': '2402494', 'kind': 'A1', 'date': '2001-10-18'}, 'lens_id': '164-602-170-224-695'}, {'document_id': {'jurisdiction': 'WO', 'doc_number': '2001076893', 'kind': 'A1', 'date': '2001-10-18'}, 'lens_id': '127-582-786-338-554'}, {'document_id': {'jurisdiction': 'US', 'doc_number': '20040007299', 'kind': 'A1', 'date': '2004-01-15'}, 'lens_id': '176-042-476-220-69X'}], 'size': 10}, 'extended_family': {'members': [{'document_id': {'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'B1', 'date': '2014-01-28'}, 'lens_id': '091-239-452-882-303'}, {'document_id': {'jurisdiction': 'US', 'doc_number': '20040007299', 'kind': 'A1', 'date': '2004-01-15'}, 'lens_id': '176-042-476-220-69X'}, {'document_id': {'jurisdiction': 'AU', 'doc_number': '4626201', 'kind': 'A', 'date': '2001-10-23'}, 'lens_id': '035-763-602-050-431'}, {'document_id': {'jurisdiction': 'FR', 'doc_number': '2809750', 'kind': 'A1', 'date': '2001-12-07'}, 'lens_id': '160-209-945-929-61X'}, {'document_id': {'jurisdiction': 'MX', 'doc_number': 'PA02009823', 'kind': 'A', 'date': '2004-09-06'}, 'lens_id': '035-746-733-617-798'}, {'document_id': {'jurisdiction': 'EP', 'doc_number': '1268224', 'kind': 'A1', 'date': '2003-01-02'}, 'lens_id': '159-189-699-531-188'}, {'document_id': {'jurisdiction': 'BR', 'doc_number': '0001130', 'kind': 'A', 'date': '2001-11-20'}, 'lens_id': '000-322-595-054-608'}, {'document_id': {'jurisdiction': 'CA', 'doc_number': '2402494', 'kind': 'A1', 'date': '2001-10-18'}, 'lens_id': '164-602-170-224-695'}, {'document_id': {'jurisdiction': 'WO', 'doc_number': '2001076893', 'kind': 'A1', 'date': '2001-10-18'}, 'lens_id': '127-582-786-338-554'}, {'document_id': {'jurisdiction': 'JP', 'doc_number': '2003530259', 'kind': 'A', 'date': '2003-10-14'}, 'lens_id': '022-040-657-624-825'}], 'size': 10}}"
legal_status,"{'granted': True, 'grant_date': '2014-01-28', 'anticipated_term_date': '2020-04-05', 'calculation_log': ['Application Filing Date: 2000-04-05', 'Granted Date: 2014-01-28', 'Anticipated Termination Date: 2020-04-05'], 'patent_status': 'EXPIRED', 'next_status_change_date': '9999-12-31'}"
publication_type,PATENT_APPLICATION
abstract,"[{'text': '""BANDA DE RODAGEM PARA RECAUCHUTAGEM DE PNEUS"".Apresentando uma face externa (21) provida dos usuais sulcos (23)e uma face interna (22) a ser assentada e aderida, geralmente porvulcanização, à face externa (11), convexa, de uma carcaça depneu (10) da qual o composto da banda de rodagem original foitotalmente raspado, dita banda de rodagem para recauchutagemapresentando espessura variando ao longo de sua largura, tendosua face interna (22) definida em arco cóncavo com raio decurvatura correspondente àquele da face externa (11) da carcaçade pneu (10) e sua face externa (21) plana ou ligeiramenteconvexa, com raio de curvatura substancialmente maior do que ode sua face interna (22).', 'lang': 'pt'}]"
abstract_text,"""BANDA DE RODAGEM PARA RECAUCHUTAGEM DE PNEUS"".Apresentando uma face externa (21) provida dos usuais sulcos (23)e uma face interna (22) a ser assentada e aderida, geralmente porvulcanização, à face externa (11), convexa, de uma carcaça depneu (10) da qual o composto da banda de rodagem original foitotalmente raspado, dita banda de rodagem para recauchutagemapresentando espessura variando ao longo de sua largura, tendosua face interna (22) definida em arco cóncavo com raio decurvatura correspondente àquele da face externa (11) da carcaçade pneu (10) e sua face externa (21) plana ou ligeiramenteconvexa, com raio de curvatura substancialmente maior do que ode sua face interna (22)."
ipcr_triples,"[('B60C11/02', 'I', 'F'), ('B29D30/52', 'I', None), ('B29D30/54', 'I', None), ('B29D30/56', 'I', None), ('B60C11/00', 'I', None), ('E01H1/12', 'I', None)]"
cpc_triples,"[('B60C11/0083', 'I', 'F'), ('B29D30/56', 'I', 'L'), ('B60C11/02', 'I', 'L'), ('B60C11/0083', 'I', 'F'), ('B29D30/56', 'I', 'L'), ('B60C11/02', 'I', 'L')]"
all_triples,"[('B60C11/02', 'I', 'F'), ('B29D30/52', 'I', None), ('B29D30/54', 'I', None), ('B29D30/56', 'I', None), ('B60C11/00', 'I', None), ('E01H1/12', 'I', None), ('B60C11/0083', 'I', 'F'), ('B29D30/56', 'I', 'L'), ('B60C11/02', 'I', 'L'), ('B60C11/0083', 'I', 'F'), ('B29D30/56', 'I', 'L'), ('B60C11/02', 'I', 'L')]"
inventors_detailed,"[{'residence': None, 'name': 'DRESCH ELDON'}]"
inventor_names,['DRESCH ELDON']
invention_title_text,Banda de rodagem para recauchutagem de pneus
patent_count,0
patent_lens_ids,[]
patent_status,EXPIRED
application_expiry_date,
picked,E01
title_abstract,"Banda de rodagem para recauchutagem de pneus ""BANDA DE RODAGEM PARA RECAUCHUTAGEM DE PNEUS"".Apresentando uma face externa (21) provida dos usuais sulcos (23)e uma face interna (22) a ser assentada e aderida, geralmente porvulcanização, à face externa (11), convexa, de uma carcaça depneu (10) da qual o composto da banda de rodagem original foitotalmente raspado, dita banda de rodagem para recauchutagemapresentando espessura variando ao longo de sua largura, tendosua face interna (22) definida em arco cóncavo com raio decurvatura correspondente àquele da face externa (11) da carcaçade pneu (10) e sua face externa (21) plana ou ligeiramenteconvexa, com raio de curvatura substancialmente maior do que ode sua face interna (22)."
tokens,"['banda', 'rodagem', 'recauchutagem', 'pneu', 'banda', 'rodagem', 'recauchutagem', 'pneusapresentar', 'face', 'externo', 'provir', 'usual', 'sulco', 'face', 'interno', 'assentar', 'aderir', 'geralmente', 'porvulcanização', 'face', 'externo', 'convexo', 'carcaça', 'depneu', 'composto', 'banda', 'rodagem', 'original', 'foitotalmente', 'raspar', 'ditar', 'banda', 'rodagem', 'recauchutagemapresentar', 'espessura', 'variar', 'longo', 'largura', 'tendosua', 'face', 'interno', 'definir', 'arco', 'cóncavo', 'raio', 'decurvatura', 'correspondente', 'face', 'externo', 'carcaçade', 'pneu', 'face', 'externo', 'plano', 'ligeiramenteconvex', 'raio', 'curvatura', 'substancialmente', 'odir', 'face', 'interno']"
