codigo,ano
A01B1/00,2006
A01B1/02,2006
A01B1/04,2006
A01B1/06,2006
A01B1/08,2006
A01B1/10,2006
A01B1/12,2006
A01B1/14,2006
A01B1/16,2006
A01B1/18,2006
A01B1/20,2006
A01B1/22,2006
A01B1/24,2006
A01B11/00,2006
A01B13/00,2006
A01B13/02,2006
A01B13/04,2006
A01B13/06,2006
A01B13/08,2006
A01B13/10,2006
A01B13/12,2006
A01B13/14,2006
A01B13/16,2006
A01B15/00,2006
A01B15/02,2006
A01B15/04,2006
A01B15/06,2006
A01B15/08,2006
A01B15/10,2006
A01B15/12,2006
A01B15/14,2006
A01B15/16,2006
A01B15/18,2006
A01B15/20,2006
A01B17/00,2006
A01B19/00,2006
A01B19/02,2006
A01B19/04,2006
A01B19/06,2006
A01B19/08,2006
A01B19/10,2006
A01B21/00,2006
A01B21/02,2006
A01B21/04,2006
A01B21/06,2006
A01B21/08,2006
A01B23/00,2006
A01B23/02,2006
A01B23/04,2006
A01B23/06,2006
A01B25/00,2006
A01B27/00,2006
A01B29/00,2006
A01B29/02,2006
A01B29/04,2006
A01B29/06,2006
A01B3/00,2006
A01B3/02,2006
A01B3/04,2006
A01B3/06,2006
A01B3/08,2006
A01B3/10,2006
A01B3/12,2006
A01B3/14,2006
A01B3/16,2006
A01B3/18,2006
A01B3/20,2006
A01B3/22,2006
A01B3/24,2006
A01B3/26,2006
A01B3/28,2006
A01B3/30,2006
A01B3/32,2006
A01B3/34,2006
A01B3/36,2006
A01B3/38,2006
A01B3/40,2006
A01B3/42,2006
A01B3/421,2006
A01B3/426,2006
A01B3/44,2006
A01B3/46,2006
A01B3/50,2006
A01B3/52,2006
A01B3/54,2006
A01B3/56,2006
A01B3/58,2006
A01B3/60,2006
A01B3/62,2006
A01B3/64,2006
A01B3/66,2006
A01B3/68,2006
A01B3/70,2006
A01B3/72,2006
A01B3/74,2006
A01B31/00,2006
A01B33/00,2006
A01B33/02,2006
A01B33/04,2006
A01B33/06,2006
A01B33/08,2006
A01B33/10,2006
A01B33/12,2006
A01B33/14,2006
A01B33/16,2006
A01B35/00,2006
A01B35/02,2006
A01B35/04,2006
A01B35/06,2006
A01B35/08,2006
A01B35/10,2006
A01B35/12,2006
A01B35/14,2006
A01B35/16,2006
A01B35/18,2006
A01B35/20,2006
A01B35/22,2006
A01B35/24,2006
A01B35/26,2006
A01B35/28,2006
A01B35/30,2006
A01B35/32,2006
A01B37/00,2006
A01B39/00,2006
A01B39/02,2006
A01B39/04,2006
A01B39/06,2006
A01B39/08,2006
A01B39/10,2006
A01B39/12,2006
A01B39/14,2006
A01B39/16,2006
A01B39/18,2006
A01B39/19,2006
A01B39/20,2006
A01B39/22,2006
A01B39/24,2006
A01B39/26,2006
A01B39/28,2006
A01B41/00,2006
A01B41/02,2006
A01B41/04,2006
A01B41/06,2006
A01B43/00,2006
A01B45/00,2006
A01B45/02,2006
A01B47/00,2006
A01B49/00,2006
A01B49/04,2006
A01B49/06,2006
A01B5/00,2006
A01B5/02,2006
A01B5/04,2006
A01B5/06,2006
A01B5/08,2006
A01B5/10,2006
A01B5/12,2006
A01B5/14,2006
A01B5/16,2006
A01B51/00,2006
A01B51/02,2006
A01B51/04,2006
A01B59/00,2006
A01B59/02,2006
A01B59/04,2006
A01B59/041,2006
A01B59/042,2006
A01B59/043,2006
A01B59/044,2006
A01B59/046,2006
A01B59/048,2006
A01B59/06,2006
A01B61/00,2006
A01B61/02,2006
A01B61/04,2006
A01B63/00,2006
A01B63/02,2006
A01B63/04,2006
A01B63/06,2006
A01B63/08,2006
A01B63/10,2006
A01B63/102,2006
A01B63/104,2006
A01B63/106,2006
A01B63/108,2006
A01B63/11,2006
A01B63/111,2006
A01B63/112,2006
A01B63/114,2006
A01B63/118,2006
A01B63/12,2006
A01B63/14,2006
A01B63/16,2006
A01B63/18,2006
A01B63/20,2006
A01B63/22,2006
A01B63/24,2006
A01B63/26,2006
A01B63/28,2006
A01B63/30,2006
A01B63/32,2006
A01B67/00,2006
A01B69/00,2006
A01B69/02,2006
A01B69/04,2006
A01B69/06,2006
A01B69/08,2006
A01B7/00,2006
A01B71/00,2006
A01B71/02,2006
A01B71/04,2006
A01B71/06,2006
A01B71/08,2006
A01B73/00,2006
A01B73/02,2006
A01B73/04,2006
A01B73/06,2006
A01B75/00,2006
A01B76/00,2006
A01B77/00,2006
A01B79/00,2006
A01B79/02,2006
A01B9/00,2006
A01C1/00,2006
A01C1/02,2006
A01C1/04,2006
A01C1/06,2006
A01C1/08,2006
A01C11/00,2006
A01C11/02,2006
A01C11/04,2006
A01C13/00,2006
A01C14/00,2006
A01C15/00,2006
A01C15/02,2006
A01C15/04,2006
A01C15/06,2006
A01C15/08,2006
A01C15/10,2006
A01C15/12,2006
A01C15/14,2006
A01C15/16,2006
A01C15/18,2006
A01C17/00,2006
A01C19/00,2006
A01C19/02,2006
A01C19/04,2006
A01C21/00,2006
A01C23/00,2006
A01C23/02,2006
A01C23/04,2006
A01C3/00,2006
A01C3/02,2006
A01C3/04,2006
A01C3/06,2006
A01C3/08,2006
A01C5/00,2006
A01C5/00,2018
A01C5/02,2006
A01C5/04,2006
A01C5/06,2006
A01C5/08,2006
A01C7/00,2006
A01C7/02,2006
A01C7/04,2006
A01C7/06,2006
A01C7/08,2006
A01C7/10,2006
A01C7/12,2006
A01C7/14,2006
A01C7/16,2006
A01C7/18,2006
A01C7/20,2006
A01C9/00,2006
A01C9/02,2006
A01C9/04,2006
A01C9/06,2006
A01C9/08,2006
A01D1/00,2006
A01D1/04,2006
A01D1/06,2006
A01D1/08,2006
A01D1/10,2006
A01D1/12,2006
A01D1/14,2006
A01D101/00,2006
A01D11/00,2006
A01D11/02,2006
A01D11/04,2006
A01D11/06,2006
A01D13/00,2006
A01D15/00,2006
A01D15/02,2006
A01D15/04,2006
A01D17/00,2006
A01D17/02,2006
A01D17/04,2006
A01D17/06,2006
A01D17/08,2006
A01D17/10,2006
A01D17/12,2006
A01D17/14,2006
A01D17/16,2006
A01D17/18,2006
A01D17/20,2006
A01D17/22,2006
A01D19/00,2006
A01D19/02,2006
A01D19/04,2006
A01D19/06,2006
A01D19/08,2006
A01D19/10,2006
A01D19/12,2006
A01D19/14,2006
A01D19/16,2006
A01D19/18,2006
A01D21/00,2006
A01D21/02,2006
A01D21/04,2006
A01D23/00,2006
A01D23/02,2006
A01D23/04,2006
A01D23/06,2006
A01D25/00,2006
A01D25/02,2006
A01D25/04,2006
A01D27/00,2006
A01D27/02,2006
A01D27/04,2006
A01D29/00,2006
A01D3/00,2006
A01D3/02,2006
A01D3/04,2006
A01D3/06,2006
A01D3/08,2006
A01D31/00,2006
A01D31/02,2006
A01D33/00,2006
A01D33/02,2006
A01D33/04,2006
A01D33/06,2006
A01D33/08,2006
A01D33/10,2006
A01D33/12,2006
A01D33/14,2006
A01D34/00,2006
A01D34/01,2006
A01D34/02,2006
A01D34/03,2006
A01D34/06,2006
A01D34/07,2006
A01D34/08,2006
A01D34/10,2006
A01D34/125,2006
A01D34/13,2006
A01D34/135,2006
A01D34/14,2006
A01D34/16,2006
A01D34/17,2006
A01D34/18,2006
A01D34/20,2006
A01D34/22,2006
A01D34/23,2006
A01D34/24,2006
A01D34/26,2006
A01D34/27,2006
A01D34/28,2006
A01D34/30,2006
A01D34/32,2006
A01D34/33,2006
A01D34/34,2006
A01D34/36,2006
A01D34/37,2006
A01D34/38,2006
A01D34/40,2006
A01D34/404,2006
A01D34/408,2006
A01D34/412,2006
A01D34/416,2006
A01D34/42,2006
A01D34/43,2006
A01D34/44,2006
A01D34/46,2006
A01D34/47,2006
A01D34/49,2006
A01D34/52,2006
A01D34/53,2006
A01D34/535,2006
A01D34/54,2006
A01D34/56,2006
A01D34/57,2006
A01D34/58,2006
A01D34/60,2006
A01D34/62,2006
A01D34/63,2006
A01D34/64,2006
A01D34/66,2006
A01D34/67,2006
A01D34/68,2006
A01D34/685,2006
A01D34/69,2006
A01D34/695,2006
A01D34/71,2006
A01D34/73,2006
A01D34/74,2006
A01D34/76,2006
A01D34/77,2006
A01D34/78,2006
A01D34/80,2006
A01D34/81,2006
A01D34/82,2006
A01D34/83,2006
A01D34/835,2006
A01D34/84,2006
A01D34/86,2006
A01D34/90,2006
A01D37/00,2006
A01D37/02,2006
A01D37/04,2006
A01D37/06,2006
A01D39/00,2006
A01D41/00,2006
A01D41/02,2006
A01D41/04,2006
A01D41/06,2006
A01D41/08,2006
A01D41/10,2006
A01D41/12,2006
A01D41/127,2006
A01D41/133,2006
A01D41/14,2006
A01D41/16,2006
A01D42/00,2006
A01D42/02,2006
A01D42/04,2006
A01D42/06,2006
A01D42/08,2006
A01D43/00,2006
A01D43/02,2006
A01D43/04,2006
A01D43/06,2006
A01D43/063,2006
A01D43/07,2006
A01D43/073,2006
A01D43/077,2006
A01D43/08,2006
A01D43/10,2006
A01D43/12,2006
A01D43/14,2006
A01D43/16,2006
A01D44/00,2006
A01D44/02,2006
A01D45/00,2018
A01D45/02,2006
A01D45/04,2006
A01D45/06,2006
A01D45/10,2006
A01D45/16,2006
A01D45/22,2006
A01D45/24,2006
A01D45/26,2006
A01D45/28,2006
A01D45/30,2006
A01D46/00,2006
A01D46/04,2006
A01D46/06,2006
A01D46/08,2006
A01D46/10,2006
A01D46/12,2006
A01D46/14,2006
A01D46/16,2006
A01D46/18,2006
A01D46/20,2006
A01D46/22,2006
A01D46/24,2006
A01D46/247,2006
A01D46/253,2006
A01D46/26,2006
A01D46/28,2006
A01D46/30,2006
A01D47/00,2006
A01D5/00,2006
A01D51/00,2006
A01D57/00,2006
A01D57/01,2006
A01D57/02,2006
A01D57/03,2006
A01D57/04,2006
A01D57/05,2006
A01D57/06,2006
A01D57/08,2006
A01D57/10,2006
A01D57/12,2006
A01D57/14,2006
A01D57/16,2006
A01D57/18,2006
A01D57/20,2006
A01D57/22,2006
A01D57/24,2006
A01D57/26,2006
A01D57/28,2006
A01D57/30,2006
A01D59/00,2006
A01D59/02,2006
A01D59/04,2006
A01D59/06,2006
A01D59/08,2006
A01D59/10,2006
A01D59/12,2006
A01D59/14,2006
A01D61/00,2006
A01D61/02,2006
A01D61/04,2006
A01D63/00,2006
A01D63/02,2006
A01D63/04,2006
A01D65/00,2006
A01D65/02,2006
A01D65/04,2006
A01D65/06,2006
A01D65/08,2006
A01D67/00,2006
A01D67/02,2006
A01D67/04,2006
A01D69/00,2006
A01D69/02,2006
A01D69/03,2006
A01D69/06,2006
A01D69/08,2006
A01D69/10,2006
A01D69/12,2006
A01D7/00,2006
A01D7/02,2006
A01D7/04,2006
A01D7/06,2006
A01D7/08,2006
A01D7/10,2006
A01D75/00,2006
A01D75/02,2006
A01D75/04,2006
A01D75/06,2006
A01D75/08,2006
A01D75/10,2006
A01D75/12,2006
A01D75/16,2006
A01D75/18,2006
A01D75/20,2006
A01D75/24,2006
A01D75/26,2006
A01D75/28,2006
A01D75/30,2006
A01D76/00,2006
A01D78/00,2006
A01D78/02,2006
A01D78/04,2006
A01D78/06,2006
A01D78/08,2006
A01D78/10,2006
A01D78/12,2006
A01D78/14,2006
A01D78/16,2006
A01D78/18,2006
A01D78/20,2006
A01D80/00,2006
A01D80/02,2006
A01D82/00,2006
A01D82/02,2006
A01D84/00,2006
A01D84/02,2006
A01D85/00,2006
A01D87/00,2006
A01D87/02,2006
A01D87/04,2006
A01D87/06,2006
A01D87/08,2006
A01D87/10,2006
A01D87/12,2006
A01D89/00,2006
A01D9/00,2006
A01D9/02,2006
A01D9/04,2006
A01D9/06,2006
A01D90/00,2006
A01D90/02,2006
A01D90/04,2006
A01D90/06,2006
A01D90/08,2006
A01D90/10,2006
A01D90/12,2006
A01D90/14,2006
A01D90/16,2006
A01D91/00,2006
A01D91/02,2006
A01D91/04,2006
A01D93/00,2009
A01F1/00,2006
A01F1/02,2006
A01F1/04,2006
A01F1/06,2006
A01F11/00,2006
A01F11/02,2006
A01F11/04,2006
A01F11/06,2006
A01F11/08,2006
A01F12/00,2006
A01F12/10,2006
A01F12/12,2006
A01F12/14,2006
A01F12/16,2006
A01F12/18,2006
A01F12/20,2006
A01F12/22,2006
A01F12/24,2006
A01F12/26,2006
A01F12/28,2006
A01F12/30,2006
A01F12/32,2006
A01F12/34,2006
A01F12/36,2006
A01F12/38,2006
A01F12/385,2006
A01F12/39,2006
A01F12/395,2006
A01F12/40,2006
A01F12/42,2006
A01F12/44,2006
A01F12/46,2006
A01F12/48,2006
A01F12/50,2006
A01F12/52,2006
A01F12/54,2006
A01F12/56,2006
A01F12/58,2006
A01F12/60,2006
A01F13/00,2006
A01F15/00,2006
A01F15/02,2006
A01F15/04,2006
A01F15/06,2006
A01F15/07,2006
A01F15/08,2006
A01F15/10,2006
A01F15/12,2006
A01F15/14,2006
A01F15/16,2006
A01F15/18,2006
A01F17/00,2006
A01F17/02,2006
A01F17/04,2006
A01F19/00,2006
A01F21/00,2006
A01F25/00,2006
A01F25/02,2006
A01F25/04,2006
A01F25/08,2006
A01F25/10,2006
A01F25/12,2006
A01F25/13,2006
A01F25/14,2006
A01F25/16,2006
A01F25/18,2006
A01F25/20,2006
A01F25/22,2006
A01F29/00,2006
A01F29/01,2006
A01F29/02,2006
A01F29/04,2006
A01F29/06,2006
A01F29/08,2006
A01F29/09,2010
A01F29/10,2006
A01F29/12,2006
A01F29/14,2006
A01F29/16,2006
A01F29/18,2006
A01F29/22,2006
A01F3/00,2006
A01F5/00,2006
A01F7/00,2006
A01F7/02,2006
A01F7/04,2006
A01F7/06,2006
A01F7/70,2010
A01G11/00,2006
A01G13/00,2006
A01G13/02,2006
A01G13/08,2006
A01G13/10,2006
A01G13/20,2025
A01G13/21,2025
A01G13/22,2025
A01G13/23,2025
A01G13/24,2025
A01G13/26,2025
A01G13/27,2025
A01G13/28,2025
A01G13/29,2025
A01G13/30,2025
A01G13/31,2025
A01G13/32,2025
A01G13/33,2025
A01G13/35,2025
A01G13/37,2025
A01G13/38,2025
A01G13/39,2025
A01G15/00,2006
A01G17/00,2006
A01G17/02,2006
A01G17/04,2006
A01G17/06,2006
A01G17/08,2006
A01G17/10,2006
A01G17/12,2006
A01G17/14,2006
A01G17/16,2006
A01G17/18,2006
A01G18/00,2018
A01G18/10,2018
A01G18/20,2018
A01G18/22,2018
A01G18/30,2018
A01G18/40,2018
A01G18/50,2018
A01G18/55,2018
A01G18/60,2018
A01G18/61,2018
A01G18/62,2018
A01G18/64,2018
A01G18/65,2018
A01G18/66,2018
A01G18/68,2018
A01G18/69,2018
A01G18/70,2018
A01G18/80,2018
A01G2/00,2018
A01G2/10,2018
A01G2/20,2018
A01G2/30,2018
A01G2/32,2018
A01G2/35,2018
A01G2/38,2018
A01G20/00,2018
A01G20/10,2018
A01G20/12,2018
A01G20/15,2018
A01G20/18,2018
A01G20/20,2018
A01G20/30,2018
A01G20/35,2018
A01G20/40,2018
A01G20/43,2018
A01G20/47,2018
A01G22/00,2018
A01G22/05,2018
A01G22/10,2018
A01G22/15,2018
A01G22/20,2018
A01G22/22,2018
A01G22/25,2018
A01G22/30,2018
A01G22/35,2018
A01G22/40,2018
A01G22/45,2018
A01G22/50,2018
A01G22/55,2018
A01G22/60,2018
A01G22/63,2018
A01G22/67,2018
A01G23/00,2006
A01G23/02,2006
A01G23/04,2006
A01G23/06,2006
A01G23/08,2006
A01G23/081,2006
A01G23/083,2006
A01G23/085,2006
A01G23/087,2006
A01G23/089,2006
A01G23/09,2006
A01G23/091,2006
A01G23/093,2006
A01G23/095,2006
A01G23/097,2006
A01G23/099,2006
A01G23/10,2006
A01G23/12,2006
A01G23/14,2006
A01G24/00,2018
A01G24/10,2018
A01G24/12,2018
A01G24/13,2018
A01G24/15,2018
A01G24/17,2018
A01G24/18,2018
A01G24/20,2018
A01G24/22,2018
A01G24/23,2018
A01G24/25,2018
A01G24/27,2018
A01G24/28,2018
A01G24/30,2018
A01G24/35,2018
A01G24/40,2018
A01G24/42,2018
A01G24/44,2018
A01G24/46,2018
A01G24/48,2018
A01G24/50,2018
A01G24/60,2018
A01G25/00,2006
A01G25/02,2006
A01G25/06,2006
A01G25/09,2006
A01G25/14,2006
A01G25/16,2006
A01G27/00,2006
A01G27/02,2006
A01G27/04,2006
A01G27/06,2006
A01G29/00,2006
A01G3/00,2006
A01G3/02,2006
A01G3/025,2006
A01G3/033,2006
A01G3/037,2006
A01G3/04,2006
A01G3/047,2006
A01G3/053,2006
A01G3/06,2006
A01G3/08,2006
A01G31/00,2018
A01G31/02,2006
A01G31/04,2006
A01G31/06,2006
A01G33/00,2006
A01G33/02,2006
A01G5/00,2006
A01G5/02,2006
A01G5/04,2006
A01G5/06,2006
A01G7/00,2006
A01G7/02,2006
A01G7/04,2006
A01G7/06,2006
A01G9/00,2018
A01G9/02,2018
A01G9/029,2018
A01G9/033,2018
A01G9/04,2006
A01G9/06,2006
A01G9/08,2006
A01G9/12,2006
A01G9/14,2006
A01G9/16,2006
A01G9/18,2006
A01G9/20,2006
A01G9/22,2006
A01G9/24,2006
A01G9/26,2006
A01G9/28,2018
A01H1/00,2006
A01H1/04,2006
A01H1/06,2006
A01H1/08,2006
A01H11/00,2006
A01H13/00,2006
A01H15/00,2006
A01H17/00,2006
A01H3/00,2006
A01H3/02,2006
A01H3/04,2006
A01H4/00,2006
A01H5/00,2018
A01H5/02,2018
A01H5/04,2018
A01H5/06,2018
A01H5/08,2018
A01H5/10,2018
A01H5/12,2018
A01H6/00,2006
A01H6/00,2018
A01H6/02,2018
A01H6/04,2018
A01H6/06,2018
A01H6/08,2018
A01H6/10,2018
A01H6/12,2018
A01H6/14,2018
A01H6/16,2018
A01H6/18,2018
A01H6/20,2018
A01H6/22,2018
A01H6/24,2018
A01H6/26,2018
A01H6/28,2018
A01H6/30,2018
A01H6/32,2018
A01H6/34,2018
A01H6/36,2018
A01H6/38,2018
A01H6/40,2018
A01H6/42,2018
A01H6/44,2018
A01H6/46,2018
A01H6/48,2018
A01H6/50,2018
A01H6/52,2018
A01H6/54,2018
A01H6/56,2018
A01H6/58,2018
A01H6/60,2018
A01H6/62,2018
A01H6/64,2018
A01H6/66,2018
A01H6/68,2018
A01H6/70,2018
A01H6/72,2018
A01H6/74,2018
A01H6/76,2018
A01H6/78,2018
A01H6/80,2018
A01H6/82,2018
A01H6/84,2018
A01H6/86,2018
A01H6/88,2018
A01H7/00,2006
A01H9/00,2006
A01J1/00,2006
A01J11/00,2006
A01J11/02,2006
A01J11/04,2006
A01J11/06,2006
A01J11/08,2006
A01J11/10,2006
A01J11/12,2006
A01J11/14,2006
A01J11/16,2006
A01J13/00,2006
A01J15/00,2006
A01J15/02,2006
A01J15/04,2006
A01J15/06,2006
A01J15/08,2006
A01J15/10,2006
A01J15/12,2006
A01J15/14,2006
A01J15/16,2006
A01J15/18,2006
A01J15/20,2006
A01J15/22,2006
A01J15/24,2006
A01J15/25,2006
A01J15/26,2006
A01J15/28,2006
A01J17/00,2006
A01J19/00,2006
A01J21/00,2006
A01J21/02,2006
A01J23/00,2006
A01J25/00,2006
A01J25/02,2006
A01J25/04,2006
A01J25/06,2006
A01J25/08,2006
A01J25/10,2006
A01J25/11,2006
A01J25/12,2006
A01J25/13,2006
A01J25/15,2006
A01J25/16,2006
A01J27/00,2006
A01J27/02,2006
A01J27/04,2006
A01J3/00,2006
A01J5/00,2006
A01J5/003,2006
A01J5/007,2006
A01J5/01,2006
A01J5/013,2006
A01J5/017,2006
A01J5/02,2006
A01J5/04,2006
A01J5/06,2006
A01J5/08,2006
A01J5/10,2006
A01J5/12,2006
A01J5/14,2006
A01J5/16,2006
A01J7/00,2006
A01J7/02,2006
A01J7/04,2006
A01J9/00,2006
A01J9/02,2006
A01J9/04,2006
A01J9/06,2006
A01J9/08,2006
A01J9/10,2006
A01J99/00,2006
A01K1/00,2006
A01K1/01,2006
A01K1/015,2006
A01K1/02,2006
A01K1/03,2006
A01K1/035,2006
A01K1/04,2006
A01K1/06,2006
A01K1/062,2006
A01K1/064,2006
A01K1/08,2006
A01K1/10,2006
A01K1/12,2006
A01K11/00,2006
A01K13/00,2006
A01K14/00,2006
A01K15/00,2006
A01K15/02,2006
A01K15/04,2006
A01K17/00,2006
A01K19/00,2006
A01K21/00,2006
A01K23/00,2006
A01K25/00,2006
A01K27/00,2006
A01K29/00,2006
A01K3/00,2006
A01K31/00,2006
A01K31/02,2006
A01K31/04,2006
A01K31/06,2006
A01K31/07,2006
A01K31/08,2006
A01K31/10,2006
A01K31/12,2006
A01K31/14,2006
A01K31/16,2006
A01K31/17,2006
A01K31/18,2006
A01K31/19,2006
A01K31/20,2006
A01K31/22,2006
A01K31/24,2006
A01K33/00,2006
A01K35/00,2006
A01K37/00,2006
A01K39/00,2006
A01K39/01,2006
A01K39/012,2006
A01K39/014,2006
A01K39/02,2006
A01K39/022,2006
A01K39/024,2006
A01K39/026,2006
A01K39/04,2006
A01K39/06,2006
A01K41/00,2006
A01K41/02,2006
A01K41/04,2006
A01K41/06,2006
A01K43/00,2006
A01K43/04,2006
A01K43/06,2006
A01K43/08,2006
A01K43/10,2006
A01K45/00,2006
A01K47/00,2006
A01K47/02,2006
A01K47/04,2006
A01K47/06,2006
A01K49/00,2006
A01K5/00,2006
A01K5/01,2006
A01K5/015,2006
A01K5/02,2006
A01K51/00,2006
A01K53/00,2006
A01K55/00,2006
A01K57/00,2006
A01K59/00,2006
A01K59/02,2006
A01K59/04,2006
A01K59/06,2006
A01K61/00,2017
A01K61/10,2017
A01K61/13,2017
A01K61/17,2017
A01K61/20,2017
A01K61/30,2017
A01K61/40,2017
A01K61/50,2017
A01K61/51,2017
A01K61/53,2017
A01K61/54,2017
A01K61/55,2017
A01K61/56,2017
A01K61/57,2017
A01K61/59,2017
A01K61/60,2017
A01K61/65,2017
A01K61/70,2017
A01K61/72,2017
A01K61/73,2017
A01K61/75,2017
A01K61/77,2017
A01K61/78,2017
A01K61/80,2017
A01K61/85,2017
A01K61/90,2017
A01K61/95,2017
A01K63/00,2006
A01K63/00,2012
A01K63/00,2017
A01K63/00,2021
A01K63/02,2006
A01K63/04,2006
A01K63/06,2006
A01K63/10,2017
A01K65/00,2006
A01K67/00,2006
A01K67/02,2006
A01K67/027,2024
A01K67/0271,2024
A01K67/0273,2024
A01K67/0275,2024
A01K67/0276,2024
A01K67/0278,2024
A01K67/033,2025
A01K67/30,2025
A01K67/32,2025
A01K67/33,2025
A01K67/34,2025
A01K67/35,2025
A01K67/36,2025
A01K67/362,2025
A01K67/364,2025
A01K67/366,2025
A01K67/368,2025
A01K67/60,2025
A01K67/61,2025
A01K67/62,2025
A01K67/63,2025
A01K67/64,2025
A01K67/65,2025
A01K67/67,2025
A01K67/68,2025
A01K69/00,2006
A01K69/02,2006
A01K69/04,2006
A01K69/06,2006
A01K69/08,2006
A01K69/10,2006
A01K7/00,2006
A01K7/02,2006
A01K7/04,2006
A01K7/06,2006
A01K71/00,2006
A01K73/00,2006
A01K73/02,2006
A01K73/04,2006
A01K73/045,2006
A01K73/05,2006
A01K73/053,2006
A01K73/06,2006
A01K73/10,2006
A01K73/12,2006
A01K74/00,2006
A01K75/00,2006
A01K75/02,2006
A01K75/04,2006
A01K75/06,2006
A01K77/00,2006
A01K79/00,2006
A01K79/02,2006
A01K80/00,2006
A01K81/00,2006
A01K81/04,2006
A01K81/06,2006
A01K83/00,2006
A01K83/02,2006
A01K83/04,2006
A01K83/06,2006
A01K85/00,2006
A01K85/01,2006
A01K85/02,2006
A01K85/08,2006
A01K85/10,2006
A01K85/12,2006
