,350
lens_id,046-610-757-989-162
jurisdiction,BR
doc_number,MU8701789
kind,U2
date_published,2009-07-14 00:00:00
doc_key,BR_MU8701789_U2_20090714
docdb_id,383339387
lang,
biblio,"{'publication_reference': {'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'U2', 'date': '2009-07-14'}, 'application_reference': {'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'U', 'date': '2007-11-22'}, 'priority_claims': {'claims': [{'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'U', 'date': '2007-11-22', 'sequence': 1}], 'earliest_claim': {'date': '2007-11-22'}}, 'invention_title': [{'text': 'disposição construtiva introduzida em fÈrmas de lajes nervuradas', 'lang': 'pt'}], 'parties': {'applicants': [{'residence': 'BR', 'extracted_name': {'value': 'TERMOTECNICA LTDA'}}], 'inventors': [{'sequence': 1, 'extracted_name': {'value': 'SCHMIDT ALBANO'}}]}, 'classifications_ipcr': {'classifications': [{'symbol': 'E04G11/40', 'classification_value': 'I', 'classification_symbol_position': 'F'}, {'symbol': 'E04B9/06', 'classification_value': 'I', 'classification_symbol_position': 'L'}, {'symbol': 'E04G9/08', 'classification_value': 'I', 'classification_symbol_position': 'L'}]}, 'classifications_cpc': {'classifications': [{'symbol': 'E04B5/326', 'classification_value': 'I', 'classification_symbol_position': 'F'}, {'symbol': 'E04B5/14', 'classification_value': 'A', 'classification_symbol_position': 'L'}, {'symbol': 'E04B5/19', 'classification_value': 'A', 'classification_symbol_position': 'L'}, {'symbol': 'E04B5/28', 'classification_value': 'A', 'classification_symbol_position': 'L'}, {'symbol': 'E04C1/38', 'classification_value': 'A', 'classification_symbol_position': 'L'}, {'symbol': 'E04G11/40', 'classification_value': 'A', 'classification_symbol_position': 'L'}]}, 'cited_by': {'patents': [{'document_id': {'jurisdiction': 'EA', 'doc_number': '037867', 'kind': 'B1'}, 'lens_id': '091-311-814-907-592'}, {'document_id': {'jurisdiction': 'CN', 'doc_number': '109790711', 'kind': 'A'}, 'lens_id': '102-671-691-398-148'}, {'document_id': {'jurisdiction': 'US', 'doc_number': '10801201', 'kind': 'B2'}, 'lens_id': '032-336-920-778-828'}, {'document_id': {'jurisdiction': 'CN', 'doc_number': '102561693', 'kind': 'A'}, 'lens_id': '057-058-453-880-136'}, {'document_id': {'jurisdiction': 'WO', 'doc_number': '2018060279', 'kind': 'A1'}, 'lens_id': '009-619-972-987-900'}], 'patent_count': 5}}"
families,"{'simple_family': {'members': [{'document_id': {'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'U2', 'date': '2009-07-14'}, 'lens_id': '046-610-757-989-162'}, {'document_id': {'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'Y1', 'date': '2016-01-05'}, 'lens_id': '106-624-774-891-206'}], 'size': 2}, 'extended_family': {'members': [{'document_id': {'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'U2', 'date': '2009-07-14'}, 'lens_id': '046-610-757-989-162'}, {'document_id': {'jurisdiction': 'BR', 'doc_number': 'MU8701789', 'kind': 'Y1', 'date': '2016-01-05'}, 'lens_id': '106-624-774-891-206'}], 'size': 2}}"
